,property_id,property_type,room_type
0,12c8c17e-3cb3-11ee-8938-1418c306ac06,CONDOMINIUM,MASTER
1,12c8c17f-3cb3-11ee-8e72-1418c306ac06,LANDED,WHOLE_UNIT
2,12c8c180-3cb3-11ee-82d0-1418c306ac06,CONDOMINIUM,WHOLE_UNIT
3,12c8c181-3cb3-11ee-9a6f-1418c306ac06,CONDOMINIUM,MASTER
4,12c8c182-3cb3-11ee-947c-1418c306ac06,CONDOMINIUM,WHOLE_UNIT
5,12c8c183-3cb3-11ee-a782-1418c306ac06,HDB,SINGLE
6,12c942e6-3cb3-11ee-9b7f-1418c306ac06,CONDOMINIUM,MASTER
7,12c942e7-3cb3-11ee-8499-1418c306ac06,HDB,WHOLE_UNIT
8,12c942e8-3cb3-11ee-b483-1418c306ac06,CONDOMINIUM,MASTER
9,12c942e9-3cb3-11ee-84f9-1418c306ac06,LANDED,COMMON
10,12c942ea-3cb3-11ee-81c4-1418c306ac06,LANDED,SINGLE
11,12c942eb-3cb3-11ee-90ec-1418c306ac06,LANDED,COMMON
12,12c942ec-3cb3-11ee-b9e1-1418c306ac06,LANDED,COMMON
13,12c942ed-3cb3-11ee-8a62-1418c306ac06,LANDED,COMMON
14,12c942ee-3cb3-11ee-b4f7-1418c306ac06,LANDED,COMMON
15,12c942ef-3cb3-11ee-8a89-1418c306ac06,HDB,COMMON
16,12c942f0-3cb3-11ee-ace4-1418c306ac06,CONDOMINIUM,SINGLE
17,12c942f1-3cb3-11ee-889a-1418c306ac06,CONDOMINIUM,COMMON
18,12c942f2-3cb3-11ee-a99b-1418c306ac06,CONDOMINIUM,MASTER
19,12c942f3-3cb3-11ee-a199-1418c306ac06,CONDOMINIUM,COMMON
20,12c942f4-3cb3-11ee-b2ad-1418c306ac06,CONDOMINIUM,SINGLE
21,12c96a00-3cb3-11ee-9a1f-1418c306ac06,LANDED,MASTER
22,12c96a01-3cb3-11ee-b31c-1418c306ac06,CONDOMINIUM,COMMON
23,12c96a02-3cb3-11ee-abb3-1418c306ac06,HDB,SINGLE
24,12c96a03-3cb3-11ee-b34d-1418c306ac06,LANDED,COMMON
25,12c96a04-3cb3-11ee-bd42-1418c306ac06,HDB,COMMON
26,12c96a05-3cb3-11ee-ab42-1418c306ac06,HDB,SINGLE
27,12c96a06-3cb3-11ee-9ed4-1418c306ac06,HDB,COMMON
28,12c96a07-3cb3-11ee-bee7-1418c306ac06,LANDED,WHOLE_UNIT
29,12c96a08-3cb3-11ee-8dec-1418c306ac06,CONDOMINIUM,WHOLE_UNIT
30,12c96a09-3cb3-11ee-abbd-1418c306ac06,CONDOMINIUM,SINGLE
31,12c96a0a-3cb3-11ee-b710-1418c306ac06,LANDED,SINGLE
32,12c96a0b-3cb3-11ee-9c3a-1418c306ac06,LANDED,MASTER
33,12c99118-3cb3-11ee-890f-1418c306ac06,CONDOMINIUM,MASTER
34,12c99119-3cb3-11ee-936b-1418c306ac06,LANDED,COMMON
35,12c9911a-3cb3-11ee-965c-1418c306ac06,LANDED,WHOLE_UNIT
36,12c9911b-3cb3-11ee-a751-1418c306ac06,CONDOMINIUM,SINGLE
37,12c9911c-3cb3-11ee-a9ec-1418c306ac06,LANDED,MASTER
38,12c9911d-3cb3-11ee-814e-1418c306ac06,CONDOMINIUM,SINGLE
39,12c9b82e-3cb3-11ee-80aa-1418c306ac06,LANDED,MASTER
40,12c9b82f-3cb3-11ee-a7b6-1418c306ac06,HDB,WHOLE_UNIT
41,12c9b830-3cb3-11ee-a23b-1418c306ac06,LANDED,SINGLE
42,12c9b831-3cb3-11ee-b78c-1418c306ac06,CONDOMINIUM,MASTER
43,12c9b832-3cb3-11ee-b5e8-1418c306ac06,LANDED,SINGLE
44,12c9b833-3cb3-11ee-a84b-1418c306ac06,HDB,MASTER
45,12c9b834-3cb3-11ee-806d-1418c306ac06,LANDED,MASTER
46,12c9b835-3cb3-11ee-ae81-1418c306ac06,HDB,WHOLE_UNIT
47,12c9b836-3cb3-11ee-a5b7-1418c306ac06,CONDOMINIUM,MASTER
48,12c9b837-3cb3-11ee-ba17-1418c306ac06,LANDED,COMMON
49,12c9b838-3cb3-11ee-b955-1418c306ac06,LANDED,COMMON
50,12c9df55-3cb3-11ee-b095-1418c306ac06,HDB,COMMON
51,12c9df56-3cb3-11ee-a0ae-1418c306ac06,CONDOMINIUM,SINGLE
52,12c9df57-3cb3-11ee-bb52-1418c306ac06,LANDED,WHOLE_UNIT
53,12c9df58-3cb3-11ee-9158-1418c306ac06,HDB,WHOLE_UNIT
54,12c9df59-3cb3-11ee-a4f4-1418c306ac06,CONDOMINIUM,MASTER
55,12c9df5a-3cb3-11ee-b4d1-1418c306ac06,HDB,SINGLE
56,12c9df5b-3cb3-11ee-a33f-1418c306ac06,LANDED,WHOLE_UNIT
57,12c9df5c-3cb3-11ee-884a-1418c306ac06,HDB,WHOLE_UNIT
58,12c9df5d-3cb3-11ee-b33a-1418c306ac06,HDB,SINGLE
59,12c9df5e-3cb3-11ee-8e93-1418c306ac06,HDB,MASTER
