,tenant_id,property_id,property_type,room_type
0,0,48ebfd7d-3cbc-11ee-82bc-1418c306ac06,HDB,WHOLE_UNIT
1,0,48ec112b-3cbc-11ee-ab0e-1418c306ac06,LANDED,WHOLE_UNIT
2,0,48ec112c-3cbc-11ee-8ff3-1418c306ac06,HDB,WHOLE_UNIT
3,0,48ec112d-3cbc-11ee-9795-1418c306ac06,HDB,SINGLE
4,0,48ec112e-3cbc-11ee-872b-1418c306ac06,LANDED,COMMON
5,1,48ec78d7-3cbc-11ee-bac9-1418c306ac06,HDB,WHOLE_UNIT
6,1,48ec78d8-3cbc-11ee-801d-1418c306ac06,LANDED,COMMON
7,1,48ec78d9-3cbc-11ee-8f43-1418c306ac06,HDB,MASTER
8,1,48ec78da-3cbc-11ee-b079-1418c306ac06,HDB,MASTER
9,1,48ec78db-3cbc-11ee-93ff-1418c306ac06,LANDED,MASTER
10,1,48ec78dc-3cbc-11ee-a9d4-1418c306ac06,CONDOMINIUM,MASTER
11,1,48ec78dd-3cbc-11ee-b1a3-1418c306ac06,LANDED,COMMON
12,1,48ec78de-3cbc-11ee-85f5-1418c306ac06,HDB,SINGLE
13,1,48ec78df-3cbc-11ee-83e8-1418c306ac06,HDB,SINGLE
14,1,48ec78e0-3cbc-11ee-9312-1418c306ac06,LANDED,COMMON
15,2,48ec95fe-3cbc-11ee-8a5c-1418c306ac06,HDB,SINGLE
16,2,48ec95ff-3cbc-11ee-a130-1418c306ac06,HDB,COMMON
17,2,48ec9600-3cbc-11ee-a90d-1418c306ac06,LANDED,SINGLE
18,2,48ec9601-3cbc-11ee-8097-1418c306ac06,CONDOMINIUM,SINGLE
19,2,48ec9602-3cbc-11ee-99de-1418c306ac06,LANDED,COMMON
20,2,48ec9603-3cbc-11ee-98df-1418c306ac06,CONDOMINIUM,SINGLE
21,2,48ec9604-3cbc-11ee-8fd9-1418c306ac06,CONDOMINIUM,SINGLE
22,2,48ec9605-3cbc-11ee-a569-1418c306ac06,LANDED,WHOLE_UNIT
23,2,48ec9606-3cbc-11ee-8d0a-1418c306ac06,CONDOMINIUM,COMMON
24,2,48ec9607-3cbc-11ee-8508-1418c306ac06,HDB,MASTER
25,2,48ec9608-3cbc-11ee-a565-1418c306ac06,CONDOMINIUM,MASTER
26,2,48ec9609-3cbc-11ee-bb37-1418c306ac06,HDB,WHOLE_UNIT
27,2,48ec960a-3cbc-11ee-8e23-1418c306ac06,CONDOMINIUM,SINGLE
28,2,48ec960b-3cbc-11ee-a4ef-1418c306ac06,CONDOMINIUM,MASTER
29,2,48ec960c-3cbc-11ee-bc79-1418c306ac06,HDB,MASTER
30,2,48ec960d-3cbc-11ee-9aa7-1418c306ac06,HDB,WHOLE_UNIT
31,2,48ec960e-3cbc-11ee-a2e8-1418c306ac06,HDB,COMMON
32,2,48ec960f-3cbc-11ee-8277-1418c306ac06,CONDOMINIUM,SINGLE
33,2,48ec9610-3cbc-11ee-8d12-1418c306ac06,HDB,WHOLE_UNIT
34,3,48ecbeab-3cbc-11ee-8c1d-1418c306ac06,LANDED,WHOLE_UNIT
35,3,48ecbeac-3cbc-11ee-97a6-1418c306ac06,HDB,COMMON
36,3,48ecbead-3cbc-11ee-8243-1418c306ac06,LANDED,WHOLE_UNIT
37,3,48ecbeae-3cbc-11ee-b593-1418c306ac06,LANDED,MASTER
38,3,48ecbeaf-3cbc-11ee-9104-1418c306ac06,HDB,MASTER
39,3,48ecbeb0-3cbc-11ee-b7d2-1418c306ac06,LANDED,WHOLE_UNIT
40,3,48ecbeb1-3cbc-11ee-b458-1418c306ac06,HDB,WHOLE_UNIT
41,3,48ecbeb2-3cbc-11ee-9a90-1418c306ac06,LANDED,COMMON
42,4,48ece5c6-3cbc-11ee-8f57-1418c306ac06,HDB,WHOLE_UNIT
43,4,48ece5c7-3cbc-11ee-94e4-1418c306ac06,LANDED,WHOLE_UNIT
44,4,48ece5c8-3cbc-11ee-9074-1418c306ac06,CONDOMINIUM,WHOLE_UNIT
45,4,48ece5c9-3cbc-11ee-ae1d-1418c306ac06,HDB,WHOLE_UNIT
46,4,48ece5ca-3cbc-11ee-b16b-1418c306ac06,LANDED,SINGLE
47,4,48ece5cb-3cbc-11ee-9ee3-1418c306ac06,HDB,COMMON
48,4,48ece5cc-3cbc-11ee-af18-1418c306ac06,CONDOMINIUM,MASTER
49,4,48ece5cd-3cbc-11ee-943a-1418c306ac06,CONDOMINIUM,COMMON
50,4,48ece5ce-3cbc-11ee-bd61-1418c306ac06,LANDED,WHOLE_UNIT
51,4,48ece5cf-3cbc-11ee-b5f3-1418c306ac06,CONDOMINIUM,SINGLE
52,4,48ece5d0-3cbc-11ee-8930-1418c306ac06,HDB,SINGLE
53,5,48ed0cde-3cbc-11ee-8a16-1418c306ac06,HDB,COMMON
54,5,48ed0cdf-3cbc-11ee-ae2c-1418c306ac06,HDB,WHOLE_UNIT
55,5,48ed0ce0-3cbc-11ee-b1bd-1418c306ac06,CONDOMINIUM,SINGLE
56,5,48ed0ce1-3cbc-11ee-a7ae-1418c306ac06,CONDOMINIUM,WHOLE_UNIT
57,5,48ed0ce2-3cbc-11ee-92f9-1418c306ac06,LANDED,MASTER
58,5,48ed0ce3-3cbc-11ee-a3d3-1418c306ac06,CONDOMINIUM,WHOLE_UNIT
59,5,48ed0ce4-3cbc-11ee-8551-1418c306ac06,HDB,MASTER
60,5,48ed0ce5-3cbc-11ee-8a5d-1418c306ac06,HDB,COMMON
61,5,48ed0ce6-3cbc-11ee-b712-1418c306ac06,CONDOMINIUM,COMMON
62,5,48ed0ce7-3cbc-11ee-bd48-1418c306ac06,HDB,COMMON
63,5,48ed0ce8-3cbc-11ee-ab9c-1418c306ac06,CONDOMINIUM,SINGLE
64,5,48ed0ce9-3cbc-11ee-82cd-1418c306ac06,HDB,MASTER
65,5,48ed0cea-3cbc-11ee-a52f-1418c306ac06,HDB,MASTER
66,5,48ed0ceb-3cbc-11ee-a3ea-1418c306ac06,CONDOMINIUM,SINGLE
67,6,48ed33f6-3cbc-11ee-b013-1418c306ac06,CONDOMINIUM,COMMON
68,6,48ed33f7-3cbc-11ee-8c2c-1418c306ac06,CONDOMINIUM,MASTER
69,6,48ed33f8-3cbc-11ee-82b3-1418c306ac06,LANDED,WHOLE_UNIT
70,6,48ed33f9-3cbc-11ee-b529-1418c306ac06,HDB,SINGLE
71,6,48ed33fa-3cbc-11ee-8a91-1418c306ac06,LANDED,SINGLE
72,6,48ed33fb-3cbc-11ee-b718-1418c306ac06,LANDED,COMMON
73,6,48ed33fc-3cbc-11ee-b88c-1418c306ac06,HDB,COMMON
74,6,48ed33fd-3cbc-11ee-9f65-1418c306ac06,CONDOMINIUM,WHOLE_UNIT
75,6,48ed33fe-3cbc-11ee-98e0-1418c306ac06,LANDED,MASTER
76,6,48ed33ff-3cbc-11ee-9a51-1418c306ac06,LANDED,WHOLE_UNIT
77,6,48ed3400-3cbc-11ee-a2da-1418c306ac06,LANDED,WHOLE_UNIT
78,6,48ed3401-3cbc-11ee-84dc-1418c306ac06,CONDOMINIUM,COMMON
79,6,48ed3402-3cbc-11ee-8601-1418c306ac06,CONDOMINIUM,MASTER
80,6,48ed3403-3cbc-11ee-a1ec-1418c306ac06,LANDED,WHOLE_UNIT
