,property_id,property_type,room_type
0,48ebfd7d-3cbc-11ee-82bc-1418c306ac06,HDB,WHOLE_UNIT
1,48ec112b-3cbc-11ee-ab0e-1418c306ac06,LANDED,WHOLE_UNIT
2,48ec112c-3cbc-11ee-8ff3-1418c306ac06,HDB,WHOLE_UNIT
3,48ec112d-3cbc-11ee-9795-1418c306ac06,HDB,SINGLE
4,48ec112e-3cbc-11ee-872b-1418c306ac06,LANDED,COMMON
5,48ec78d7-3cbc-11ee-bac9-1418c306ac06,HDB,WHOLE_UNIT
6,48ec78d8-3cbc-11ee-801d-1418c306ac06,LANDED,COMMON
7,48ec78d9-3cbc-11ee-8f43-1418c306ac06,HDB,MASTER
8,48ec78da-3cbc-11ee-b079-1418c306ac06,HDB,MASTER
9,48ec78db-3cbc-11ee-93ff-1418c306ac06,LANDED,MASTER
10,48ec78dc-3cbc-11ee-a9d4-1418c306ac06,CONDOMINIUM,MASTER
11,48ec78dd-3cbc-11ee-b1a3-1418c306ac06,LANDED,COMMON
12,48ec78de-3cbc-11ee-85f5-1418c306ac06,HDB,SINGLE
13,48ec78df-3cbc-11ee-83e8-1418c306ac06,HDB,SINGLE
14,48ec78e0-3cbc-11ee-9312-1418c306ac06,LANDED,COMMON
15,48ec95fe-3cbc-11ee-8a5c-1418c306ac06,HDB,SINGLE
16,48ec95ff-3cbc-11ee-a130-1418c306ac06,HDB,COMMON
17,48ec9600-3cbc-11ee-a90d-1418c306ac06,LANDED,SINGLE
18,48ec9601-3cbc-11ee-8097-1418c306ac06,CONDOMINIUM,SINGLE
19,48ec9602-3cbc-11ee-99de-1418c306ac06,LANDED,COMMON
20,48ec9603-3cbc-11ee-98df-1418c306ac06,CONDOMINIUM,SINGLE
21,48ec9604-3cbc-11ee-8fd9-1418c306ac06,CONDOMINIUM,SINGLE
22,48ec9605-3cbc-11ee-a569-1418c306ac06,LANDED,WHOLE_UNIT
23,48ec9606-3cbc-11ee-8d0a-1418c306ac06,CONDOMINIUM,COMMON
24,48ec9607-3cbc-11ee-8508-1418c306ac06,HDB,MASTER
25,48ec9608-3cbc-11ee-a565-1418c306ac06,CONDOMINIUM,MASTER
26,48ec9609-3cbc-11ee-bb37-1418c306ac06,HDB,WHOLE_UNIT
27,48ec960a-3cbc-11ee-8e23-1418c306ac06,CONDOMINIUM,SINGLE
28,48ec960b-3cbc-11ee-a4ef-1418c306ac06,CONDOMINIUM,MASTER
29,48ec960c-3cbc-11ee-bc79-1418c306ac06,HDB,MASTER
30,48ec960d-3cbc-11ee-9aa7-1418c306ac06,HDB,WHOLE_UNIT
31,48ec960e-3cbc-11ee-a2e8-1418c306ac06,HDB,COMMON
32,48ec960f-3cbc-11ee-8277-1418c306ac06,CONDOMINIUM,SINGLE
33,48ec9610-3cbc-11ee-8d12-1418c306ac06,HDB,WHOLE_UNIT
34,48ecbeab-3cbc-11ee-8c1d-1418c306ac06,LANDED,WHOLE_UNIT
35,48ecbeac-3cbc-11ee-97a6-1418c306ac06,HDB,COMMON
36,48ecbead-3cbc-11ee-8243-1418c306ac06,LANDED,WHOLE_UNIT
37,48ecbeae-3cbc-11ee-b593-1418c306ac06,LANDED,MASTER
38,48ecbeaf-3cbc-11ee-9104-1418c306ac06,HDB,MASTER
39,48ecbeb0-3cbc-11ee-b7d2-1418c306ac06,LANDED,WHOLE_UNIT
40,48ecbeb1-3cbc-11ee-b458-1418c306ac06,HDB,WHOLE_UNIT
41,48ecbeb2-3cbc-11ee-9a90-1418c306ac06,LANDED,COMMON
42,48ece5c6-3cbc-11ee-8f57-1418c306ac06,HDB,WHOLE_UNIT
43,48ece5c7-3cbc-11ee-94e4-1418c306ac06,LANDED,WHOLE_UNIT
44,48ece5c8-3cbc-11ee-9074-1418c306ac06,CONDOMINIUM,WHOLE_UNIT
45,48ece5c9-3cbc-11ee-ae1d-1418c306ac06,HDB,WHOLE_UNIT
46,48ece5ca-3cbc-11ee-b16b-1418c306ac06,LANDED,SINGLE
47,48ece5cb-3cbc-11ee-9ee3-1418c306ac06,HDB,COMMON
48,48ece5cc-3cbc-11ee-af18-1418c306ac06,CONDOMINIUM,MASTER
49,48ece5cd-3cbc-11ee-943a-1418c306ac06,CONDOMINIUM,COMMON
50,48ece5ce-3cbc-11ee-bd61-1418c306ac06,LANDED,WHOLE_UNIT
51,48ece5cf-3cbc-11ee-b5f3-1418c306ac06,CONDOMINIUM,SINGLE
52,48ece5d0-3cbc-11ee-8930-1418c306ac06,HDB,SINGLE
53,48ed0cde-3cbc-11ee-8a16-1418c306ac06,HDB,COMMON
54,48ed0cdf-3cbc-11ee-ae2c-1418c306ac06,HDB,WHOLE_UNIT
55,48ed0ce0-3cbc-11ee-b1bd-1418c306ac06,CONDOMINIUM,SINGLE
56,48ed0ce1-3cbc-11ee-a7ae-1418c306ac06,CONDOMINIUM,WHOLE_UNIT
57,48ed0ce2-3cbc-11ee-92f9-1418c306ac06,LANDED,MASTER
58,48ed0ce3-3cbc-11ee-a3d3-1418c306ac06,CONDOMINIUM,WHOLE_UNIT
59,48ed0ce4-3cbc-11ee-8551-1418c306ac06,HDB,MASTER
60,48ed0ce5-3cbc-11ee-8a5d-1418c306ac06,HDB,COMMON
61,48ed0ce6-3cbc-11ee-b712-1418c306ac06,CONDOMINIUM,COMMON
62,48ed0ce7-3cbc-11ee-bd48-1418c306ac06,HDB,COMMON
63,48ed0ce8-3cbc-11ee-ab9c-1418c306ac06,CONDOMINIUM,SINGLE
64,48ed0ce9-3cbc-11ee-82cd-1418c306ac06,HDB,MASTER
65,48ed0cea-3cbc-11ee-a52f-1418c306ac06,HDB,MASTER
66,48ed0ceb-3cbc-11ee-a3ea-1418c306ac06,CONDOMINIUM,SINGLE
67,48ed33f6-3cbc-11ee-b013-1418c306ac06,CONDOMINIUM,COMMON
68,48ed33f7-3cbc-11ee-8c2c-1418c306ac06,CONDOMINIUM,MASTER
69,48ed33f8-3cbc-11ee-82b3-1418c306ac06,LANDED,WHOLE_UNIT
70,48ed33f9-3cbc-11ee-b529-1418c306ac06,HDB,SINGLE
71,48ed33fa-3cbc-11ee-8a91-1418c306ac06,LANDED,SINGLE
72,48ed33fb-3cbc-11ee-b718-1418c306ac06,LANDED,COMMON
73,48ed33fc-3cbc-11ee-b88c-1418c306ac06,HDB,COMMON
74,48ed33fd-3cbc-11ee-9f65-1418c306ac06,CONDOMINIUM,WHOLE_UNIT
75,48ed33fe-3cbc-11ee-98e0-1418c306ac06,LANDED,MASTER
76,48ed33ff-3cbc-11ee-9a51-1418c306ac06,LANDED,WHOLE_UNIT
77,48ed3400-3cbc-11ee-a2da-1418c306ac06,LANDED,WHOLE_UNIT
78,48ed3401-3cbc-11ee-84dc-1418c306ac06,CONDOMINIUM,COMMON
79,48ed3402-3cbc-11ee-8601-1418c306ac06,CONDOMINIUM,MASTER
80,48ed3403-3cbc-11ee-a1ec-1418c306ac06,LANDED,WHOLE_UNIT
81,48ed3404-3cbc-11ee-9d5d-1418c306ac06,LANDED,COMMON
82,48ed3405-3cbc-11ee-9c20-1418c306ac06,CONDOMINIUM,COMMON
83,48ed3406-3cbc-11ee-8f2a-1418c306ac06,LANDED,MASTER
84,48ed3407-3cbc-11ee-b96c-1418c306ac06,LANDED,COMMON
85,48ed3408-3cbc-11ee-aba9-1418c306ac06,CONDOMINIUM,COMMON
86,48ed3409-3cbc-11ee-a036-1418c306ac06,LANDED,COMMON
87,48ed5b0d-3cbc-11ee-85ec-1418c306ac06,HDB,SINGLE
88,48ed5b0e-3cbc-11ee-9431-1418c306ac06,CONDOMINIUM,WHOLE_UNIT
89,48ed5b0f-3cbc-11ee-bf8e-1418c306ac06,HDB,WHOLE_UNIT
